frame,timestamp,class,confidence,lat,lon,x1,y1,x2,y2
0,0.0,person,0.825110912322998,12.6608,77.4493,487,156,514,213
0,0.0,person,0.7905935645103455,12.6608,77.4493,482,105,505,160
0,0.0,person,0.7833960652351379,12.6608,77.4493,221,216,248,284
0,0.0,person,0.7540534734725952,12.6608,77.4493,249,150,274,207
0,0.0,person,0.7488513588905334,12.6608,77.4493,597,47,616,91
0,0.0,person,0.7363725900650024,12.6608,77.4493,379,316,414,360
0,0.0,person,0.7135884165763855,12.6608,77.4493,86,145,108,204
0,0.0,person,0.6844931244850159,12.6608,77.4493,400,42,418,89
0,0.0,person,0.68168044090271,12.6608,77.4493,235,80,255,128
0,0.0,person,0.6614385843276978,12.6608,77.4493,469,234,508,296
0,0.0,bird,0.6575972437858582,12.6608,77.4493,10,263,46,329
0,0.0,person,0.6439860463142395,12.6608,77.4493,66,14,87,53
0,0.0,bird,0.6185749769210815,12.6608,77.4493,379,168,404,218
0,0.0,person,0.6175292134284973,12.6608,77.4493,363,15,377,49
0,0.0,person,0.6038966178894043,12.6608,77.4493,562,25,594,95
0,0.0,person,0.6037327647209167,12.6608,77.4493,297,31,310,70
0,0.0,person,0.5972894430160522,12.6608,77.4493,189,85,210,135
0,0.0,person,0.5897072553634644,12.6608,77.4493,558,3,575,46
0,0.0,person,0.5809483528137207,12.6608,77.4493,388,49,404,93
0,0.0,person,0.5754448175430298,12.6608,77.4493,284,23,298,65
0,0.0,person,0.569303572177887,12.6608,77.4493,266,25,281,68
0,0.0,person,0.5666302442550659,12.6608,77.4493,537,5,551,42
0,0.0,person,0.5597180724143982,12.6608,77.4493,30,43,48,84
0,0.0,person,0.5325279235839844,12.6608,77.4493,308,58,326,102
0,0.0,person,0.5155848860740662,12.6608,77.4493,241,0,257,36
0,0.0,person,0.4588032066822052,12.6608,77.4493,114,0,134,46
0,0.0,person,0.4195566773414612,12.6608,77.4493,526,6,539,40
0,0.0,person,0.39382001757621765,12.6608,77.4493,570,25,594,85
0,0.0,person,0.3766178786754608,12.6608,77.4493,327,33,346,78
0,0.0,person,0.3641164302825928,12.6608,77.4493,434,3,448,36
0,0.0,person,0.3620387315750122,12.6608,77.4493,633,32,639,66
0,0.0,person,0.35638540983200073,12.6608,77.4493,527,5,545,41
0,0.0,person,0.3480006754398346,12.6608,77.4493,379,168,404,218
0,0.0,person,0.32057055830955505,12.6608,77.4493,617,236,639,282
0,0.0,person,0.31910449266433716,12.6608,77.4493,532,5,551,41
0,0.0,person,0.29342812299728394,12.6608,77.4493,114,164,131,213
1,0.04,person,0.8159789443016052,12.6608,77.4493,488,159,515,215
1,0.04,person,0.796177089214325,12.6608,77.4493,483,106,506,161
1,0.04,person,0.7575598955154419,12.6608,77.4493,223,213,249,281
1,0.04,person,0.7465527057647705,12.6608,77.4493,379,313,414,360
1,0.04,person,0.7258898019790649,12.6608,77.4493,85,146,108,203
1,0.04,person,0.710360050201416,12.6608,77.4493,251,148,274,203
1,0.04,person,0.7049077153205872,12.6608,77.4493,598,49,616,92
1,0.04,person,0.6907182931900024,12.6608,77.4493,400,40,418,86
1,0.04,person,0.6823657155036926,12.6608,77.4493,470,234,507,296
1,0.04,person,0.6548379063606262,12.6608,77.4493,67,13,87,51
1,0.04,person,0.6394023895263672,12.6608,77.4493,363,15,378,50
